N,beta,max_mean
1,0.1,7.902177677563545
1,1,1.6892705664981276
1,10,1.0470978612644628
2,0.1,15.580879370076834
2,1,3.251528701853203
2,10,1.7874394114084402
3,0.1,22.820599690425922
3,1,4.341914854523656
3,10,2.7721779568610923
4,0.1,30.239671049617794
4,1,5.770689251879622
4,10,3.7565736395387734
5,0.1,37.78646549586891
5,1,7.227628345654197
5,10,4.756017118625469
6,0.1,45.23323103523076
6,1,8.585492456313762
6,10,5.4189121084085405
7,0.1,52.99136878754248
7,1,9.535097963315922
7,10,6.794815321005173
8,0.1,59.69593381180045
8,1,9.531579466277723
8,10,6.98802869652547
9,0.1,66.46058345617566
9,1,10.999758049131568
9,10,7.942185325214822
10,0.1,75.06513361823723
10,1,12.855756307794298
10,10,9.013878851659307
11,0.1,81.55091595987423
11,1,14.23701184832447
11,10,9.780053443176058
12,0.1,88.61949032504712
12,1,15.089886542464015
12,10,10.471078344733714
13,0.1,96.65578764081589
13,1,15.887922759786248
13,10,11.182162039956692
14,0.1,102.69783113223353
14,1,18.079150901057165
14,10,11.651439600368533
15,0.1,109.57951946717269
15,1,18.821255096587635
15,10,13.074654443761187
