N,beta,max_variance
1,0.1,0.00000000000000000000000004177251440059212
1,1,0.0000000000000000000000000016709005760236847
1,10,0.0000000000000000000000000006640961174082792
2,0.1,0.0029187808589243936
2,1,0.19602989169124552
2,10,0.3485185820436263
3,0.1,0.0018011286740781181
3,1,0.22939851143972376
3,10,0.5088277595752035
4,0.1,0.002478345891086215
4,1,0.33284219080265853
4,10,0.8080402879847448
5,0.1,0.0026597392629996186
5,1,0.424304926869326
5,10,1.2461534956788018
6,0.1,0.002375987875763426
6,1,0.26535368252517194
6,10,1.0623371058763216
7,0.1,0.002805950012566589
7,1,0.3056803432436016
7,10,1.256539634653265
8,0.1,0.0022919444326880986
8,1,0.4644160150114131
8,10,1.3391976486582704
9,0.1,0.001473984348178037
9,1,0.4292873061965923
9,10,1.317128432763392
10,0.1,0.001604664367100536
10,1,0.38000869367338647
10,10,1.6812906684422744
11,0.1,0.001175786843012709
11,1,0.566011299113202
11,10,1.2014960539359267
12,0.1,0.0015831663157917682
12,1,0.42595288974835566
12,10,1.4050808642682262
13,0.1,0.001252345627000839
13,1,0.3715422289008658
13,10,1.6040039207474135
14,0.1,0.001055982090305624
14,1,0.3631290880017829
14,10,1.299188756729982
15,0.1,0.0009964000844593722
15,1,0.5677395785480894
15,10,2.2650386043445083
